actionid,actiongroup,actionsubid,actiontitle,actiondesc,actionsubsubid
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Routinely test individuals and prevent access of those who test positive to public buildings and workplaces, e.g. in Austria.",1
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Routinely take temperature and prevent access of those with elevated temperatures to public buildings and workplaces, e.g. in China.",2
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,Encourage individuals to self-isolate if they test positive for COVID-19.,3
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,Encourage individuals to self-isolate if they show symptoms of COVID-19.,4
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Encourage individuals to self-isolate if they have been in (close) contact with someone who tests positive for COVID-19 or shows symptoms. Contacts can be traced using apps and electronic devices, as in Singapore and New Zealand, using tickets as at the Australian Open, or manually using paper-based forms.",5
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,Encourage individuals to self-isolate if any other household member tests positive for COVID-19 or shows symptoms.,6
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Encourage individuals to self-isolate based on overall virus risk, integrating factors such as home address, travel history, IT data and self-reported health status, e.g. Chinese health code mini-app.",7
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Isolate “infection herds”, i.e. groups of people sharing common spaces such as apartment blocks.",8
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Identify rooms for early isolation of potentially infected persons, and use appropriately.",9
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Provide self-isolation spaces (e.g. hotel rooms) for front line workers, key workers and workers who need to travel far away from home for their work.",10
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Prohibit individuals working with infected or potentially infected individuals (e.g. nurses, staff in quarantine hotels) from having second jobs, e.g. in Australia.",11
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Ensure individuals working with infected or potentially infected individuals (e.g. nurses, staff in quarantine hotels) are paid enough to avoid the need for second jobs.",12
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,Plan for any staff who fall ill at work to have means to return home safely.,13
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Pay staff to stay at home when infected or potentially infected, to reduce risk of transmitting illness at work.",14
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,Provide state funding for employee sick leave (rather than having the employer pay). This could make workers less hesitant to self-isolate while sick.,15
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,Financially support self-employed who are ill.,16
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,Recruit and train volunteers to facilitate self-isolation and delivery services.,17
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Clearly communicate symptoms of COVID-19, so public can self-diagnose and self-isolate. Especially useful during early phase of epidemic when testing capacity is limited.",18
1,1. PHYSICAL DISTANCING,1_1,1.1 Isolate infected or potentially infected individuals,"Encourage infected or potentially infected individuals to call ahead before visiting doctor or hospital, to allow appropriate biosecurity measures to be put in place.",19
1,1. PHYSICAL DISTANCING,1_2,1.2 Increase home confinement across society,"Require permits, self-declaration forms or letters of authority to leave the house. Sanctions for people without them. Adopted in many countries, including France and Romania.",20
